user_id,age,registration_date
131,23,2025-07-22
132,55,2025-10-17
133,38,2025-05-07
134,60,2025-12-11
135,33,2025-05-13
136,26,2025-11-21
137,37,2025-08-11
138,66,2025-02-01
139,47,2025-10-19
140,24,2025-02-18
141,31,2025-09-09
142,26,2025-06-03
143,33,2025-06-10
144,28,2025-08-27
145,52,2025-12-10
146,57,2025-11-17
147,18,2025-11-27
148,53,2025-05-22
149,24,2025-03-09
150,25,2025-02-24
151,53,2025-03-09
152,36,2025-10-07
153,63,2025-06-07
154,61,2025-11-28
155,34,2025-09-16
156,34,2025-01-03
157,58,2025-07-27
158,35,2025-01-01
159,39,2025-03-21
160,34,2025-03-24
161,46,2025-09-23
162,45,2025-09-01
163,25,2025-02-23
164,27,2025-09-02
165,41,2025-10-18
166,27,2025-07-05
167,20,2025-05-12
168,68,2025-01-12
169,31,2025-11-08
170,60,2025-02-12
171,67,2025-09-28
172,44,2025-10-24
173,27,2025-04-28
174,28,2025-03-14
175,19,2025-03-24
176,39,2025-07-26
177,60,2025-12-26
178,33,2025-05-06
179,68,2025-12-04
180,42,2025-01-28
181,48,2025-04-07
182,70,2025-08-12
183,37,2025-04-08
184,19,2025-11-07
185,43,2025-06-09
186,22,2025-05-12
187,59,2025-09-13
188,61,2025-09-11
189,19,2025-02-09
190,29,2025-10-09
191,20,2025-02-20
192,45,2025-06-24
193,68,2025-06-14
194,56,2025-09-04
195,42,2025-10-07
196,34,2025-01-23
197,45,2025-01-17
198,69,2025-09-22
199,64,2025-12-24
200,60,2025-04-12
201,45,2025-02-22
202,39,2025-10-11
203,60,2025-02-24
204,37,2025-09-10
205,60,2025-07-11
206,43,2025-12-10
207,53,2025-03-07
208,44,2025-11-13
209,61,2025-12-06
210,57,2025-10-10
211,43,2025-09-27
212,18,2025-05-10
213,31,2025-07-26
214,55,2025-10-21
215,38,2025-08-15
216,46,2025-11-07
217,50,2025-08-26
218,68,2025-12-06
219,60,2025-02-10
220,50,2025-11-21
221,57,2025-06-03
222,70,2025-04-22
223,37,2025-04-26
224,30,2025-03-01
225,20,2025-04-16
226,57,2025-02-15
227,44,2025-11-19
228,30,2025-12-23
229,42,2025-08-13
230,33,2025-03-21
231,62,2025-01-25
232,67,2025-02-25
233,45,2025-04-06
234,69,2025-12-17
235,47,2025-01-18
236,33,2025-02-15
237,26,2025-08-22
238,51,2025-09-20
239,38,2025-08-20
240,70,2025-12-17
241,45,2025-09-15
242,28,2025-12-28
243,48,2025-08-09
244,66,2025-04-27
245,58,2025-05-25
246,67,2025-09-16
247,58,2025-04-09
248,46,2025-02-23
249,36,2025-04-09
250,39,2025-06-18
251,23,2025-03-05
252,32,2025-07-23
253,27,2025-12-07
254,22,2025-07-14
255,39,2025-09-15
256,44,2025-01-07
257,44,2025-07-25
258,55,2025-12-01
259,66,2025-10-13
260,48,2025-01-12
261,37,2025-07-28
262,44,2025-09-24
263,65,2025-09-26
264,56,2025-04-16
265,32,2025-05-14
266,49,2025-01-13
267,39,2025-11-22
268,69,2025-07-24
269,28,2025-08-05
270,57,2025-09-01
271,43,2025-10-19
272,60,2025-01-03
273,59,2025-07-05
274,47,2025-03-02
275,34,2025-07-11
276,31,2025-08-11
277,39,2025-07-09
278,66,2025-07-09
279,23,2025-08-01
280,65,2025-09-02
281,40,2025-04-21
282,22,2025-11-02
283,66,2025-01-08
284,30,2025-01-20
285,27,2025-04-05
286,48,2025-11-04
287,54,2025-04-15
288,62,2025-05-25
289,41,2025-03-20
290,56,2025-12-23
291,25,2025-03-10
292,24,2025-10-01
293,37,2025-10-22
294,42,2025-07-23
295,30,2025-02-19
296,62,2025-11-08
297,24,2025-12-25
298,37,2025-11-20
299,69,2025-02-26
300,54,2025-01-12
301,52,2025-07-22
302,41,2025-02-17
303,59,2025-06-01
304,44,2025-08-04
305,45,2025-06-21
306,47,2025-12-05
307,45,2025-03-24
308,51,2025-11-09
309,57,2025-09-25
310,48,2025-08-14
311,70,2025-12-19
312,35,2025-06-28
313,33,2025-02-09
314,46,2025-04-25
315,47,2025-10-20
316,60,2025-07-11
317,19,2025-08-28
318,38,2025-03-16
319,31,2025-06-26
320,34,2025-06-09
321,56,2025-12-09
322,53,2025-01-17
323,30,2025-02-08
324,64,2025-07-16
325,53,2025-04-23
326,48,2025-11-23
327,49,2025-08-26
328,19,2025-02-10
329,32,2025-07-23
330,33,2025-05-22
331,55,2025-06-16
332,53,2025-09-12
333,45,2025-12-18
334,39,2025-06-23
335,47,2025-05-10
336,34,2025-04-04
337,64,2025-04-11
338,25,2025-12-18
339,66,2025-12-06
340,30,2025-04-24
341,48,2025-05-24
342,55,2025-09-20
343,36,2025-02-27
344,30,2025-05-08
345,41,2025-03-10
346,18,2025-12-18
347,26,2025-05-02
348,21,2025-09-10
349,62,2025-03-21
350,66,2025-08-04
351,18,2025-10-10
352,48,2025-08-15
353,39,2025-03-02
354,34,2025-08-04
355,70,2025-02-13
356,49,2025-02-19
357,58,2025-11-02
358,27,2025-03-26
359,54,2025-05-03
360,33,2025-02-18
361,66,2025-07-20
362,56,2025-10-08
363,67,2025-09-13
364,46,2025-08-10
365,55,2025-07-10
366,54,2025-10-02
367,57,2025-12-04
368,66,2025-04-21
369,31,2025-05-22
370,23,2025-03-08
371,29,2025-09-03
372,28,2025-01-14
373,46,2025-12-20
374,48,2025-05-02
375,32,2025-05-23
376,36,2025-12-28
377,47,2025-02-22
378,32,2025-05-26
379,68,2025-11-19
380,60,2025-04-14
381,25,2025-09-08
382,59,2025-03-09
383,70,2025-03-03
384,21,2025-03-26
385,37,2025-10-24
386,70,2025-10-10
387,46,2025-02-15
388,62,2025-05-23
389,43,2025-05-17
390,52,2025-08-15
391,23,2025-10-02
392,45,2025-12-11
393,56,2025-05-01
394,23,2025-04-22
395,54,2025-10-01
396,66,2025-11-27
397,35,2025-10-02
398,66,2025-03-16
399,51,2025-11-15
400,35,2025-03-19
401,45,2025-11-27
402,49,2025-02-16
403,40,2025-07-11
404,38,2025-11-04
405,28,2025-06-14
406,62,2025-08-10
407,60,2025-07-27
408,66,2025-09-02
409,47,2025-02-11
410,34,2025-06-04
411,67,2025-07-28
412,50,2025-01-22
413,52,2025-08-14
414,21,2025-04-17
415,41,2025-10-25
416,49,2025-11-15
417,66,2025-01-07
418,35,2025-09-05
419,36,2025-08-23
420,49,2025-02-01
421,58,2025-10-26
422,33,2025-12-06
423,37,2025-09-01
424,53,2025-07-03
425,32,2025-02-15
426,25,2025-11-27
427,27,2025-08-23
428,36,2025-09-23
429,35,2025-07-27
430,48,2025-08-08
431,47,2025-09-05
432,42,2025-04-20
433,50,2025-12-05
434,22,2025-05-25
435,68,2025-07-11
436,68,2025-09-09
437,70,2025-01-10
438,64,2025-05-27
439,55,2025-10-22
440,49,2025-03-15
441,52,2025-08-12
442,39,2025-09-25
443,52,2025-07-15
444,38,2025-04-23
445,33,2025-10-13
446,32,2025-07-02
447,38,2025-12-16
448,63,2025-07-13
449,60,2025-11-05
450,49,2025-01-05
451,50,2025-10-11
452,24,2025-08-04
453,51,2025-08-01
454,64,2025-03-14
455,59,2025-03-03
456,48,2025-05-11
457,57,2025-12-13
458,59,2025-02-28
459,39,2025-11-28
460,52,2025-07-11
461,58,2025-12-25
462,49,2025-09-02
463,57,2025-02-08
464,58,2025-11-10
465,32,2025-12-03
466,45,2025-02-25
467,58,2025-12-28
468,24,2025-08-06
469,62,2025-05-01
470,20,2025-06-26
471,21,2025-05-12
472,41,2025-07-05
473,33,2025-09-14
474,54,2025-11-26
475,29,2025-03-06
476,23,2025-10-28
477,42,2025-10-22
478,33,2025-08-19
479,27,2025-04-15
480,58,2025-05-15
481,34,2025-11-01
482,69,2025-08-10
483,61,2025-09-06
484,22,2025-08-12
485,55,2025-05-21
486,45,2025-12-09
487,47,2025-05-07
488,42,2025-08-04
489,33,2025-07-19
490,40,2025-10-10
491,62,2025-05-01
492,60,2025-07-09
493,18,2025-10-28
494,61,2025-12-02
495,56,2025-12-16
496,36,2025-04-20
497,69,2025-06-08
498,58,2025-04-20
499,34,2025-11-25
500,64,2025-11-22
501,26,2025-11-04
502,58,2025-11-02
503,37,2025-08-02
504,55,2025-06-24
505,26,2025-02-10
506,38,2025-12-14
507,29,2025-04-05
508,68,2025-09-12
509,51,2025-09-09
510,28,2025-05-27
511,48,2025-05-24
512,39,2025-02-15
513,22,2025-03-25
514,32,2025-11-24
515,61,2025-07-28
516,69,2025-09-12
517,23,2025-07-01
518,34,2025-09-04
519,47,2025-06-22
520,65,2025-11-09
521,55,2025-07-27
522,58,2025-06-04
523,61,2025-04-16
524,19,2025-10-18
525,38,2025-10-08
526,59,2025-02-21
527,70,2025-08-23
528,37,2025-11-14
529,25,2025-03-02
530,20,2025-05-16
531,25,2025-02-08
532,52,2025-03-13
533,47,2025-06-22
534,65,2025-12-18
535,44,2025-10-24
536,64,2025-03-14
537,59,2025-02-27
538,49,2025-10-14
539,35,2025-01-23
540,41,2025-04-15
541,46,2025-04-28
542,41,2025-02-22
543,41,2025-09-21
544,40,2025-01-13
545,35,2025-04-04
546,70,2025-08-03
547,60,2025-04-21
548,58,2025-10-01
549,21,2025-06-08
550,26,2025-10-07
551,22,2025-09-07
552,55,2025-04-27
553,32,2025-06-25
554,27,2025-10-01
555,35,2025-03-05
556,52,2025-05-26
557,29,2025-02-22
558,19,2025-03-01
559,40,2025-04-19
560,38,2025-01-06
561,34,2025-01-05
562,65,2025-07-17
563,25,2025-12-03
564,48,2025-08-25
565,41,2025-09-19
566,24,2025-08-17
567,32,2025-10-02
568,64,2025-11-17
569,37,2025-08-21
570,19,2025-01-16
571,43,2025-07-22
572,24,2025-08-23
573,46,2025-02-03
574,38,2025-10-05
575,22,2025-03-09
576,57,2025-11-19
577,53,2025-12-11
578,42,2025-10-17
579,36,2025-08-17
580,56,2025-07-04
581,68,2025-12-04
582,59,2025-11-25
583,53,2025-12-28
584,31,2025-07-15
585,32,2025-07-11
586,70,2025-08-13
587,44,2025-12-04
588,38,2025-07-11
589,60,2025-05-12
590,27,2025-11-16
591,22,2025-02-27
592,23,2025-02-14
593,24,2025-12-24
594,41,2025-03-18
595,21,2025-10-18
596,53,2025-06-22
597,25,2025-07-12
598,60,2025-07-28
599,64,2025-01-10
