user_id,age,days_as_customer,total_payment_amount,total_payments_count,avg_payment_amount,days_since_last_activity,total_activity_duration,avg_activity_duration,label
66,30,452,319,6,53.166666666666664,-140,837,59.785714285714285,0
67,66,446,562,9,62.44444444444444,-171,524,43.666666666666664,0
68,67,279,502,8,62.75,-204,918,45.9,0
69,56,356,547,9,60.77777777777778,-204,759,63.25,0
70,19,480,685,11,62.27272727272727,-135,891,68.53846153846153,0
71,69,395,540,10,54.0,-180,974,54.111111111111114,0
72,21,414,557,10,55.7,-181,1428,71.4,0
73,23,468,978,18,54.333333333333336,156,688,68.8,0
74,49,467,399,7,57.0,-179,1143,67.23529411764706,0
75,52,459,1003,15,66.86666666666666,-185,477,68.14285714285714,0
76,60,293,735,12,61.25,-27,190,31.666666666666668,0
77,28,386,338,5,67.6,-126,1065,53.25,0
78,56,335,678,11,61.63636363636363,-131,1069,62.88235294117647,0
79,52,166,750,14,53.57142857142857,-4,473,47.3,0
80,30,179,623,11,56.63636363636363,-202,1258,62.9,0
81,43,198,829,15,55.266666666666666,-186,872,54.5,0
82,41,294,590,11,53.63636363636363,-179,697,53.61538461538461,0
83,46,484,690,11,62.72727272727273,-169,603,50.25,0
84,32,481,452,9,50.22222222222222,-191,356,71.2,0
85,19,232,437,10,43.7,-183,1341,78.88235294117646,0
86,32,242,750,16,46.875,-177,922,57.625,0
87,18,469,623,15,41.53333333333333,-94,697,38.72222222222222,0
88,58,515,406,7,58.0,-172,882,49.0,0
89,22,495,784,15,52.266666666666666,-177,514,102.8,0
90,39,475,508,9,56.44444444444444,-192,959,59.9375,0
91,33,381,490,9,54.44444444444444,-153,763,63.583333333333336,0
92,49,415,856,15,57.06666666666667,-173,555,61.666666666666664,0
93,26,170,501,8,62.625,25,483,69.0,0
94,54,303,490,9,54.44444444444444,-164,1179,58.95,0
95,68,285,432,8,54.0,-137,398,66.33333333333333,0
96,44,429,469,10,46.9,-201,980,70.0,0
97,24,205,354,8,44.25,-164,1215,71.47058823529412,0
98,40,328,539,10,53.9,-129,549,91.5,0
99,47,187,447,6,74.5,-182,1137,59.8421052631579,0
100,61,198,185,4,46.25,-127,761,69.18181818181819,0
101,24,510,552,8,69.0,-199,500,55.55555555555556,0
102,64,346,662,12,55.166666666666664,-201,1311,65.55,0
103,24,426,405,9,45.0,-185,1156,57.8,0
104,30,265,405,10,40.5,-171,895,59.666666666666664,0
105,26,336,792,15,52.8,-130,997,49.85,0
106,35,303,641,9,71.22222222222223,-185,1105,55.25,0
107,22,285,932,15,62.13333333333333,-183,743,57.15384615384615,0
108,53,490,913,14,65.21428571428571,-21,753,83.66666666666667,0
109,59,253,581,10,58.1,-195,778,48.625,0
110,18,467,576,11,52.36363636363637,-199,333,55.5,0
111,33,450,457,11,41.54545454545455,-69,291,26.454545454545453,0
112,49,304,527,10,52.7,-66,570,71.25,0
113,43,517,766,11,69.63636363636364,-57,486,97.2,0
114,42,510,591,11,53.72727272727273,-190,570,63.333333333333336,0
115,34,301,326,7,46.57142857142857,-201,1235,61.75,0
116,45,165,388,8,48.5,-172,1372,72.21052631578948,0
117,68,258,533,11,48.45454545454545,-171,916,61.06666666666667,0
118,63,306,273,7,39.0,120,295,59.0,1
119,30,396,300,8,37.5,-107,604,75.5,0
120,21,226,575,9,63.888888888888886,-189,531,59.0,0
121,52,499,508,9,56.44444444444444,-138,590,65.55555555555556,0
122,38,521,457,7,65.28571428571429,40,315,39.375,1
123,55,294,305,6,50.833333333333336,-148,263,52.6,0
124,51,462,439,8,54.875,-172,446,74.33333333333333,0
125,50,464,675,12,56.25,-170,1096,60.888888888888886,0
126,29,472,615,11,55.90909090909091,-162,496,62.0,0
127,22,191,449,8,56.125,-160,665,60.45454545454545,0
128,33,338,977,16,61.0625,20,950,67.85714285714286,0
129,54,414,442,7,63.142857142857146,-189,946,72.76923076923077,0
130,56,503,265,4,66.25,-41,941,72.38461538461539,0
131,23,320,324,6,54.0,-80,484,53.77777777777778,0
132,55,233,524,10,52.4,-198,1115,61.94444444444444,0
133,38,396,594,9,66.0,-153,433,61.857142857142854,0
134,60,178,435,7,62.142857142857146,-186,1345,70.78947368421052,0
135,33,390,381,8,47.625,-140,1559,77.95,0
136,26,198,327,7,46.714285714285715,-195,594,74.25,0
137,37,300,456,8,57.0,-116,585,58.5,0
138,66,491,506,9,56.22222222222222,-202,1003,55.72222222222222,0
139,47,231,655,13,50.38461538461539,-159,1093,64.29411764705883,0
140,24,474,533,8,66.625,58,322,64.4,1
141,31,271,521,8,65.125,-201,855,57.0,0
142,26,369,818,12,68.16666666666667,-109,663,82.875,0
143,33,362,953,14,68.07142857142857,-170,276,39.42857142857143,0
144,28,284,385,7,55.0,-195,824,74.9090909090909,0
145,52,179,517,11,47.0,-129,546,45.5,0
146,57,202,599,10,59.9,-197,418,52.25,0
147,18,192,602,9,66.88888888888889,63,202,40.4,1
148,53,381,592,13,45.53846153846154,-117,391,65.16666666666667,0
149,24,455,349,5,69.8,-60,552,42.46153846153846,0
150,25,468,423,8,52.875,-188,875,48.611111111111114,0
151,53,455,506,10,50.6,-2,865,61.785714285714285,0
152,36,243,567,9,63.0,-62,206,41.2,0
153,63,365,877,16,54.8125,-199,583,83.28571428571429,0
154,61,191,713,12,59.416666666666664,-185,1131,62.833333333333336,0
155,34,264,705,14,50.357142857142854,-153,371,53.0,0
156,34,520,712,12,59.333333333333336,-174,701,50.07142857142857,0
157,58,315,688,10,68.8,-108,580,58.0,0
158,35,522,529,8,66.125,-152,423,52.875,0
159,39,443,530,9,58.888888888888886,-202,1100,57.89473684210526,0
160,34,440,981,16,61.3125,-165,805,80.5,0
161,46,257,334,9,37.111111111111114,-86,621,47.76923076923077,0
162,45,279,814,13,62.61538461538461,-180,316,52.666666666666664,0
163,25,469,528,11,48.0,-161,1023,60.1764705882353,0
164,27,278,661,12,55.083333333333336,-200,1514,84.11111111111111,0
165,41,232,739,11,67.18181818181819,-88,700,77.77777777777777,0
166,27,337,327,7,46.714285714285715,-194,623,77.875,0
167,20,391,590,12,49.166666666666664,83,421,60.142857142857146,1
168,68,511,392,7,56.0,-89,544,68.0,0
169,31,211,405,8,50.625,-191,1129,59.421052631578945,0
170,60,480,322,6,53.666666666666664,-137,657,59.72727272727273,0
171,67,252,191,7,27.285714285714285,-162,1011,56.166666666666664,0
172,44,226,521,9,57.888888888888886,-133,674,51.84615384615385,0
173,27,405,430,7,61.42857142857143,-139,796,72.36363636363636,0
174,28,450,474,9,52.666666666666664,-190,749,74.9,0
175,19,440,1001,17,58.88235294117647,-192,588,36.75,0
176,39,316,339,5,67.8,-202,871,58.06666666666667,0
177,60,163,395,7,56.42857142857143,-149,1013,63.3125,0
178,33,397,636,11,57.81818181818182,-194,908,75.66666666666667,0
179,68,185,412,10,41.2,-202,1212,60.6,0
180,42,495,511,9,56.77777777777778,-29,1166,64.77777777777777,0
181,48,426,474,9,52.666666666666664,-76,570,47.5,0
182,70,299,356,8,44.5,-97,568,51.63636363636363,0
183,37,425,104,4,26.0,-157,1276,63.8,0
184,19,212,530,10,53.0,-180,896,68.92307692307692,0
185,43,363,640,11,58.18181818181818,-182,615,87.85714285714286,0
186,22,391,636,13,48.92307692307692,-202,1183,69.58823529411765,0
187,59,267,567,9,63.0,-201,614,61.4,0
188,61,269,526,13,40.46153846153846,42,274,54.8,1
189,19,483,891,14,63.642857142857146,-172,1233,64.89473684210526,0
190,29,241,533,10,53.3,-139,310,51.666666666666664,0
191,20,472,857,15,57.13333333333333,-91,400,66.66666666666667,0
192,45,348,548,11,49.81818181818182,-155,719,47.93333333333333,0
193,68,358,757,12,63.083333333333336,-168,1201,60.05,0
194,56,276,589,11,53.54545454545455,-192,945,59.0625,0
195,42,243,617,11,56.09090909090909,-142,589,58.9,0
196,34,500,715,13,55.0,-197,541,77.28571428571429,0
197,45,506,584,10,58.4,-141,1039,61.11764705882353,0
198,69,258,1021,14,72.92857142857143,-139,543,54.3,0
199,64,165,529,11,48.09090909090909,-182,707,64.27272727272727,0
200,60,421,615,11,55.90909090909091,-158,1122,70.125,0
201,45,470,472,8,59.0,-155,443,73.83333333333333,0
202,39,239,680,11,61.81818181818182,-190,918,51.0,0
203,60,468,667,11,60.63636363636363,-147,659,54.916666666666664,0
204,37,270,343,7,49.0,-100,283,40.42857142857143,0
205,60,331,718,12,59.833333333333336,11,295,42.142857142857146,0
206,43,179,250,6,41.666666666666664,-186,1148,60.421052631578945,0
207,53,457,323,9,35.888888888888886,-99,382,42.44444444444444,0
208,44,206,278,6,46.333333333333336,-200,1147,71.6875,0
209,61,183,629,10,62.9,-151,1171,61.63157894736842,0
210,57,240,648,10,64.8,-149,179,35.8,0
211,43,253,455,9,50.55555555555556,-187,597,66.33333333333333,0
212,18,393,218,5,43.6,-192,1130,62.77777777777778,0
213,31,316,717,12,59.75,-195,1206,70.94117647058823,0
214,55,229,513,9,57.0,-64,374,53.42857142857143,0
215,38,296,523,8,65.375,-124,1193,62.78947368421053,0
216,46,212,621,12,51.75,-148,694,40.8235294117647,0
217,50,285,372,7,53.142857142857146,-179,765,54.642857142857146,0
218,68,183,311,5,62.2,-193,1331,66.55,0
219,60,482,531,9,59.0,-194,655,65.5,0
220,50,198,453,11,41.18181818181818,-173,539,59.888888888888886,0
221,57,369,352,6,58.666666666666664,-185,1134,63.0,0
222,70,411,809,11,73.54545454545455,-172,587,73.375,0
223,37,407,495,10,49.5,-156,665,73.88888888888889,0
224,30,463,673,12,56.083333333333336,-148,1230,64.73684210526316,0
225,20,417,459,12,38.25,-204,874,62.42857142857143,0
226,57,477,238,6,39.666666666666664,-197,675,56.25,0
227,44,200,476,8,59.5,16,364,72.8,0
228,30,166,718,12,59.833333333333336,-203,1175,69.11764705882354,0
229,42,298,449,8,56.125,-197,1460,76.84210526315789,0
230,33,443,694,11,63.09090909090909,-202,842,56.13333333333333,0
231,62,498,489,10,48.9,-87,703,46.86666666666667,0
232,67,467,784,15,52.266666666666666,-169,1170,65.0,0
233,45,427,532,8,66.5,60,460,51.111111111111114,1
234,69,172,747,10,74.7,-168,867,66.6923076923077,0
235,47,505,204,4,51.0,-187,1082,63.64705882352941,0
236,33,477,588,9,65.33333333333333,-194,1007,55.94444444444444,0
237,26,289,675,13,51.92307692307692,-189,844,64.92307692307692,0
238,51,260,637,10,63.7,-172,746,53.285714285714285,0
239,38,291,450,9,50.0,-152,534,76.28571428571429,0
240,70,172,501,12,41.75,-174,812,45.111111111111114,0
241,45,265,461,11,41.90909090909091,-179,583,64.77777777777777,0
242,28,161,563,11,51.18181818181818,-137,340,56.666666666666664,0
243,48,302,950,15,63.333333333333336,-170,1244,62.2,0
244,66,406,411,6,68.5,-74,1435,75.52631578947368,0
245,58,378,699,13,53.76923076923077,-187,278,30.88888888888889,0
246,67,264,719,10,71.9,-201,1020,53.68421052631579,0
247,58,424,653,11,59.36363636363637,-189,686,76.22222222222223,0
248,46,469,426,8,53.25,-152,310,62.0,0
249,36,424,681,12,56.75,-166,831,55.4,0
250,39,354,463,8,57.875,-72,1177,58.85,0
251,23,459,571,16,35.6875,-202,990,58.23529411764706,0
252,32,319,544,10,54.4,-160,347,34.7,0
253,27,182,530,9,58.888888888888886,-163,506,56.22222222222222,0
254,22,328,664,12,55.333333333333336,-174,1175,65.27777777777777,0
255,39,265,570,9,63.333333333333336,-197,1121,59.0,0
256,44,516,499,8,62.375,-154,1310,68.94736842105263,0
257,44,317,743,12,61.916666666666664,-168,444,63.42857142857143,0
258,55,188,684,12,57.0,-19,511,73.0,0
259,66,237,439,7,62.714285714285715,-150,667,51.30769230769231,0
260,48,511,621,11,56.45454545454545,-180,681,61.90909090909091,0
261,37,314,649,11,59.0,-199,746,49.733333333333334,0
262,44,256,329,9,36.55555555555556,-69,737,73.7,0
263,65,254,425,7,60.714285714285715,-198,1416,70.8,0
264,56,417,660,12,55.0,-130,604,50.333333333333336,0
265,32,389,500,9,55.55555555555556,-181,459,65.57142857142857,0
266,49,510,258,8,32.25,-153,1235,68.61111111111111,0
267,39,197,541,10,54.1,-88,829,69.08333333333333,0
268,69,318,753,11,68.45454545454545,-204,974,69.57142857142857,0
269,28,306,330,5,66.0,-152,591,73.875,0
270,57,279,474,9,52.666666666666664,162,355,71.0,1
271,43,231,480,9,53.333333333333336,-69,492,61.5,0
272,60,520,496,7,70.85714285714286,-104,1002,66.8,0
273,59,337,738,12,61.5,-148,529,75.57142857142857,0
274,47,462,839,14,59.92857142857143,-1,406,67.66666666666667,0
275,34,331,568,9,63.111111111111114,-179,1289,85.93333333333334,0
276,31,300,561,13,43.15384615384615,-178,1287,71.5,0
277,39,333,1001,16,62.5625,-168,1136,56.8,0
278,66,333,274,5,54.8,-178,788,65.66666666666667,0
279,23,310,521,11,47.36363636363637,-29,487,60.875,0
280,65,278,702,12,58.5,-62,486,69.42857142857143,0
281,40,412,501,10,50.1,-155,685,52.69230769230769,0
282,22,217,595,12,49.583333333333336,-120,680,61.81818181818182,0
283,66,515,438,9,48.666666666666664,-55,496,55.111111111111114,0
284,30,503,671,12,55.916666666666664,-202,331,55.166666666666664,0
285,27,428,419,8,52.375,-158,1004,59.05882352941177,0
286,48,215,589,9,65.44444444444444,-199,929,51.611111111111114,0
287,54,418,641,14,45.785714285714285,-198,971,57.11764705882353,0
288,62,378,270,5,54.0,-48,324,46.285714285714285,0
289,41,444,363,6,60.5,-198,871,51.23529411764706,0
290,56,166,425,9,47.22222222222222,-135,735,56.53846153846154,0
291,25,454,300,8,37.5,0,997,71.21428571428571,0
292,24,249,738,13,56.76923076923077,-183,1171,83.64285714285714,0
293,37,228,466,10,46.6,-198,1141,67.11764705882354,0
294,42,319,538,11,48.90909090909091,-181,1341,67.05,0
295,30,473,646,11,58.72727272727273,-42,852,60.857142857142854,0
296,62,211,325,7,46.42857142857143,-152,1105,61.388888888888886,0
297,24,164,425,7,60.714285714285715,-174,368,73.6,0
298,37,199,503,9,55.888888888888886,-159,932,62.13333333333333,0
299,69,466,560,11,50.90909090909091,-139,1053,70.2,0
300,54,511,569,10,56.9,-47,588,73.5,0
301,52,320,231,5,46.2,-126,293,48.833333333333336,0
302,41,475,345,6,57.5,-200,1203,75.1875,0
303,59,371,747,12,62.25,-178,562,62.44444444444444,0
304,44,307,926,16,57.875,-193,851,47.27777777777778,0
305,45,351,253,5,50.6,-140,317,45.285714285714285,0
306,47,184,874,15,58.266666666666666,-154,827,59.07142857142857,0
307,45,440,570,11,51.81818181818182,-154,849,65.3076923076923,0
308,51,210,708,13,54.46153846153846,-152,1195,59.75,0
309,57,255,1017,16,63.5625,-189,763,63.583333333333336,0
310,48,297,452,9,50.22222222222222,-159,710,50.714285714285715,0
311,70,170,526,9,58.44444444444444,-159,1130,56.5,0
312,35,344,520,8,65.0,-196,1034,51.7,0
313,33,483,630,13,48.46153846153846,-184,818,62.92307692307692,0
314,46,408,785,13,60.38461538461539,-109,569,63.22222222222222,0
315,47,230,799,12,66.58333333333333,-172,1009,59.35294117647059,0
316,60,331,760,13,58.46153846153846,-167,1155,64.16666666666667,0
317,19,283,507,9,56.333333333333336,-183,909,60.6,0
318,38,448,155,3,51.666666666666664,-204,951,59.4375,0
319,31,346,452,6,75.33333333333333,-172,848,56.53333333333333,0
320,34,363,964,21,45.904761904761905,-130,318,53.0,0
321,56,180,536,10,53.6,-158,715,59.583333333333336,0
322,53,506,675,14,48.214285714285715,-167,369,46.125,0
323,30,484,521,7,74.42857142857143,-196,1212,60.6,0
324,64,326,806,13,62.0,-201,923,57.6875,0
325,53,410,556,14,39.714285714285715,-201,1036,64.75,0
326,48,196,662,12,55.166666666666664,-163,665,44.333333333333336,0
327,49,285,776,13,59.69230769230769,-203,1213,60.65,0
328,19,482,784,13,60.30769230769231,-181,787,56.214285714285715,0
329,32,319,423,8,52.875,-93,320,64.0,0
330,33,381,900,16,56.25,-106,416,59.42857142857143,0
331,55,356,334,6,55.666666666666664,-203,1243,62.15,0
332,53,268,507,12,42.25,-202,780,60.0,0
333,45,171,95,2,47.5,-190,502,55.77777777777778,0
334,39,349,687,14,49.07142857142857,-184,1445,72.25,0
335,47,393,320,6,53.333333333333336,-18,531,59.0,0
336,34,429,559,10,55.9,-102,1138,71.125,0
337,64,422,479,8,59.875,-165,338,42.25,0
338,25,171,883,15,58.86666666666667,-120,373,74.6,0
339,66,183,490,8,61.25,-168,418,59.714285714285715,0
340,30,409,714,13,54.92307692307692,-194,855,57.0,0
341,48,379,381,8,47.625,-136,434,48.22222222222222,0
342,55,260,359,7,51.285714285714285,-202,774,51.6,0
343,36,465,445,9,49.44444444444444,-73,224,37.333333333333336,0
344,30,395,619,9,68.77777777777777,-188,394,56.285714285714285,0
345,41,454,519,12,43.25,-7,216,36.0,0
346,18,171,387,6,64.5,-192,870,66.92307692307692,0
347,26,401,675,13,51.92307692307692,-123,979,69.92857142857143,0
348,21,270,660,10,66.0,37,517,64.625,1
349,62,443,423,7,60.42857142857143,-169,625,52.083333333333336,0
350,66,307,799,15,53.266666666666666,-88,496,82.66666666666667,0
351,18,240,821,13,63.15384615384615,-190,1099,54.95,0
352,48,296,603,10,60.3,-150,559,62.111111111111114,0
353,39,462,505,10,50.5,-117,778,45.76470588235294,0
354,34,307,540,9,60.0,-194,942,52.333333333333336,0
355,70,479,517,12,43.083333333333336,-161,227,37.833333333333336,0
356,49,473,653,11,59.36363636363637,-183,713,64.81818181818181,0
357,58,217,716,12,59.666666666666664,-104,490,54.44444444444444,0
358,27,438,592,11,53.81818181818182,-194,1166,64.77777777777777,0
359,54,400,628,13,48.30769230769231,-103,425,53.125,0
360,33,474,915,15,61.0,-173,510,42.5,0
361,66,322,652,11,59.27272727272727,-32,319,63.8,0
362,56,242,467,10,46.7,-66,896,68.92307692307692,0
363,67,267,505,9,56.111111111111114,-167,1249,73.47058823529412,0
364,46,301,614,12,51.166666666666664,-187,508,63.5,0
365,55,332,511,10,51.1,-181,591,59.1,0
366,54,248,257,4,64.25,-154,1013,50.65,0
367,57,185,286,7,40.857142857142854,-47,506,63.25,0
368,66,412,626,11,56.90909090909091,-196,992,76.3076923076923,0
369,31,381,592,14,42.285714285714285,-123,416,46.22222222222222,0
370,23,456,508,10,50.8,-200,939,78.25,0
371,29,277,409,7,58.42857142857143,-57,537,67.125,0
372,28,509,649,14,46.357142857142854,-166,441,55.125,0
373,46,169,363,6,60.5,-169,1103,55.15,0
374,48,401,551,10,55.1,-4,558,62.0,0
375,32,380,564,11,51.27272727272727,-181,234,46.8,0
376,36,161,389,7,55.57142857142857,53,305,61.0,1
377,47,470,565,12,47.083333333333336,-198,810,73.63636363636364,0
378,32,377,518,9,57.55555555555556,-187,922,65.85714285714286,0
379,68,200,936,14,66.85714285714286,-111,1083,77.35714285714286,0
380,60,419,411,8,51.375,-170,834,59.57142857142857,0
381,25,272,940,14,67.14285714285714,-143,790,79.0,0
382,59,455,540,8,67.5,-194,824,54.93333333333333,0
383,70,461,593,10,59.3,-71,619,77.375,0
384,21,438,283,7,40.42857142857143,-183,454,32.42857142857143,0
385,37,226,1028,15,68.53333333333333,-80,801,53.4,0
386,70,240,750,13,57.69230769230769,-41,237,47.4,0
387,46,477,616,12,51.333333333333336,-198,1085,67.8125,0
388,62,380,238,5,47.6,-150,1111,74.06666666666666,0
389,43,386,540,13,41.53846153846154,-203,938,52.111111111111114,0
390,52,296,1051,16,65.6875,-170,959,47.95,0
391,23,248,443,8,55.375,-128,523,40.23076923076923,0
392,45,178,852,13,65.53846153846153,-131,315,45.0,0
393,56,402,778,15,51.86666666666667,-186,694,57.833333333333336,0
394,23,411,589,12,49.083333333333336,-195,1052,55.36842105263158,0
395,54,249,510,10,51.0,-204,472,67.42857142857143,0
396,66,192,685,12,57.083333333333336,-151,273,54.6,0
397,35,248,660,12,55.0,-162,540,67.5,0
398,66,448,504,11,45.81818181818182,-149,1024,68.26666666666667,0
399,51,204,694,12,57.833333333333336,-27,592,74.0,0
400,35,445,615,10,61.5,-30,837,64.38461538461539,0
401,45,192,749,13,57.61538461538461,-98,1052,70.13333333333334,0
402,49,476,769,15,51.266666666666666,-192,327,65.4,0
403,40,331,659,11,59.90909090909091,-169,1316,69.26315789473684,0
404,38,215,547,10,54.7,-198,769,64.08333333333333,0
405,28,358,407,9,45.22222222222222,-12,458,65.42857142857143,0
406,62,301,415,9,46.111111111111114,-60,1052,70.13333333333334,0
407,60,315,126,4,31.5,-195,1104,69.0,0
408,66,278,447,8,55.875,-174,794,56.714285714285715,0
409,47,481,239,6,39.833333333333336,-74,433,86.6,0
410,34,368,907,14,64.78571428571429,-182,987,70.5,0
411,67,314,587,10,58.7,-66,1139,63.27777777777778,0
412,50,501,508,9,56.44444444444444,-204,607,67.44444444444444,0
413,52,297,864,16,54.0,-112,1075,63.23529411764706,0
414,21,416,520,8,65.0,-185,1041,69.4,0
415,41,225,397,8,49.625,-95,283,40.42857142857143,0
416,49,204,697,9,77.44444444444444,-183,960,60.0,0
417,66,516,267,6,44.5,-204,1132,70.75,0
418,35,275,402,8,50.25,-199,616,47.38461538461539,0
419,36,288,425,9,47.22222222222222,-201,421,60.142857142857146,0
420,49,491,711,12,59.25,-167,205,34.166666666666664,0
421,58,224,597,11,54.27272727272727,-188,972,69.42857142857143,0
422,33,183,338,7,48.285714285714285,-197,168,33.6,0
423,37,279,539,11,49.0,-198,1251,65.84210526315789,0
424,53,339,988,17,58.11764705882353,-199,1325,66.25,0
425,32,477,669,11,60.81818181818182,-155,208,41.6,0
426,25,192,525,9,58.333333333333336,-194,571,57.1,0
427,27,288,652,13,50.15384615384615,-189,887,55.4375,0
428,36,257,791,13,60.84615384615385,-168,862,78.36363636363636,0
429,35,315,468,8,58.5,-168,567,47.25,0
430,48,303,618,10,61.8,-196,1119,62.166666666666664,0
431,47,275,667,9,74.11111111111111,-186,876,54.75,0
432,42,413,363,8,45.375,-164,958,56.35294117647059,0
433,50,184,612,11,55.63636363636363,-191,897,47.21052631578947,0
434,22,378,556,10,55.6,-193,495,61.875,0
435,68,331,242,4,60.5,-199,526,58.44444444444444,0
436,68,271,622,11,56.54545454545455,-134,472,67.42857142857143,0
437,70,513,944,13,72.61538461538461,-120,330,66.0,0
438,64,376,654,12,54.5,-28,418,46.44444444444444,0
439,55,228,416,7,59.42857142857143,-149,700,77.77777777777777,0
440,49,449,536,9,59.55555555555556,-157,945,78.75,0
441,52,299,206,8,25.75,14,414,69.0,0
442,39,255,396,6,66.0,-133,512,64.0,0
443,52,327,463,8,57.875,-161,1052,65.75,0
444,38,410,900,16,56.25,-203,839,49.35294117647059,0
445,33,237,537,9,59.666666666666664,-184,617,51.416666666666664,0
446,32,340,502,8,62.75,-101,711,64.63636363636364,0
447,38,173,430,11,39.09090909090909,-178,700,50.0,0
448,63,329,332,5,66.4,-181,1256,66.10526315789474,0
449,60,214,477,7,68.14285714285714,-143,1174,61.78947368421053,0
450,49,518,332,7,47.42857142857143,-202,817,58.357142857142854,0
451,50,239,553,10,55.3,-203,913,50.72222222222222,0
452,24,307,596,11,54.18181818181818,-131,443,63.285714285714285,0
453,51,310,282,5,56.4,-86,1061,58.94444444444444,0
454,64,450,578,10,57.8,-76,396,56.57142857142857,0
455,59,461,289,6,48.166666666666664,-134,794,79.4,0
456,48,392,714,11,64.9090909090909,-187,1040,57.77777777777778,0
457,57,176,373,8,46.625,-2,465,51.666666666666664,0
458,59,464,596,9,66.22222222222223,-128,705,64.0909090909091,0
459,39,191,1015,16,63.4375,-94,1037,74.07142857142857,0
460,52,331,444,10,44.4,-171,698,58.166666666666664,0
461,58,164,493,11,44.81818181818182,-150,631,70.11111111111111,0
462,49,278,435,8,54.375,-156,508,84.66666666666667,0
463,57,484,445,7,63.57142857142857,-113,291,58.2,0
